dataset,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,model
Validation,0.8808510638297873,0.8389023201635525,0.7818371064272703,0.7998215314411715,0.867465343112636,SVM
Validation,0.8340425531914893,0.8263844797178131,0.753216237314598,0.7640756614797536,0.8333529389838907,RandomForest
Validation,0.8765957446808511,0.8262141427543904,0.7995901639344262,0.8049381023129633,0.8730551317425623,LogisticRegression
Test,0.8516949152542372,0.7681856148389006,0.7411674347158218,0.7426988424146176,0.8463437778002637,LogisticRegression
