class,total,correct,errors,accuracy
Chicken,5,0,5,0.0
Monkey,3,1,2,0.3333333333333333
Sheep,6,3,3,0.5
siren,8,4,4,0.5
crying_baby,8,5,3,0.625
car_horn,8,6,2,0.75
Cat,30,23,7,0.7666666666666667
Lion,7,6,1,0.8571428571428571
door_wood_knock,8,7,1,0.875
Cow,29,27,2,0.9310344827586207
Dog,62,59,3,0.9516129032258065
Frog,21,20,1,0.9523809523809523
Bird,30,29,1,0.9666666666666667
Donkey,3,3,0,1.0
glass_breaking,8,8,0,1.0
