model,validation_accuracy,validation_precision,validation_recall,validation_f1,test_accuracy,test_precision,test_recall,test_f1
Logistic Regression,0.75,0.753968253968254,0.75,0.7448412698412699,0.8333333333333334,0.8414502164502164,0.8333333333333334,0.8320175438596492
Random Forest,0.7708333333333334,0.7622053872053872,0.7708333333333334,0.75640694874441,0.8333333333333334,0.8342592592592593,0.8333333333333334,0.8194989106753812
SVM,0.7916666666666666,0.8015572390572391,0.7916666666666666,0.7904989188657919,0.875,0.8805555555555555,0.875,0.8736772486772487
