features,validation_accuracy,validation_precision,validation_recall,validation_f1
120,0.8553191489361702,0.8595309613206984,0.8553191489361702,0.8480098240143105
100,0.851063829787234,0.8485051828628387,0.851063829787234,0.842942459818986
80,0.8382978723404255,0.8447424915510022,0.8382978723404255,0.8297776229321095
140,0.8382978723404255,0.8330152912907671,0.8382978723404255,0.8274669079902081
60,0.8340425531914893,0.8376336454178627,0.8340425531914893,0.8234102891858555
40,0.7872340425531915,0.7894964569494748,0.7872340425531915,0.7746519488599272
20,0.7787234042553192,0.7858790275442671,0.7787234042553192,0.7648144923897509
